agent,t,sigma,wager,m_over_b
1,37,0.7808075237562722,0.8465652666293904,0.8465652666293904
1,38,0.8070180647393216,0.8649126453175251,0.8649126453175251
1,39,0.7884233849919265,0.8518963694943484,0.8518963694943484
1,40,0.7932305288524955,0.8552613701967469,0.8552613701967469
1,41,0.8101678157867929,0.867117471050755,0.867117471050755
1,42,0.8230617228454871,0.8761432059918408,0.8761432059918408
1,43,0.8373591358447215,0.8861513950913051,0.8861513950913051
1,44,0.8191396061519164,0.8733977243063413,0.8733977243063413
1,45,0.830023408748787,0.8810163861241509,0.8810163861241509
1,46,0.8276529200033547,0.8793570440023482,0.8793570440023482
1,47,0.8374744033346814,0.8862320823342769,0.8862320823342769
1,48,0.844323382928659,0.8910263680500612,0.8910263680500612
1,49,0.8514143393826239,0.8959900375678367,0.8959900375678367
1,50,0.8669921889511484,0.9068945322658037,0.9068945322658037
1,51,0.8476721719714841,0.8933705203800388,0.8933705203800388
1,52,0.8595930033875415,0.901715102371279,0.901715102371279
1,53,0.8625355301749665,0.9037748711224765,0.9037748711224765
1,54,0.8784647426742489,0.9149253198719742,0.9149253198719742
1,55,0.8796650718152333,0.9157655502706632,0.9157655502706632
1,56,0.8800445984748225,0.9160312189323758,0.9160312189323758
1,57,0.8406670656749349,0.8884669459724543,0.8884669459724543
1,58,0.8196376269344283,0.8737463388540998,0.8737463388540998
1,59,0.8192371296935673,0.8734659907854971,0.8734659907854971
1,60,0.8340778951010734,0.8838545265707514,0.8838545265707514
1,61,0.8383476685667948,0.8868433679967562,0.8868433679967562
1,62,0.8420935667873471,0.8894654967511431,0.8894654967511431
1,63,0.7962410468378839,0.8573687327865187,0.8573687327865187
1,64,0.7995671131800143,0.8596969792260098,0.8596969792260098
1,65,0.8139133269874931,0.8697393288912452,0.8697393288912452
1,66,0.8252726193667049,0.8776908335566933,0.8776908335566933
1,67,0.8313633305356566,0.8819543313749596,0.8819543313749596
1,68,0.7792682255989576,0.8454877579192703,0.8454877579192703
1,69,0.7956180435828608,0.8569326305080025,0.8569326305080025
1,70,0.8129952693143014,0.8690966885200109,0.8690966885200109
1,71,0.8232051815815381,0.8762436271070766,0.8762436271070766
1,72,0.8310328120412533,0.8817229684288772,0.8817229684288772
1,73,0.8339974698569184,0.8837982288998427,0.8837982288998427
1,74,0.8441662606750827,0.8909163824725579,0.8909163824725579
1,75,0.81834306107792,0.872840142754544,0.872840142754544
1,76,0.8417244797426447,0.8892071358198512,0.8892071358198512
1,77,0.852776048561949,0.8969432339933643,0.8969432339933643
1,78,0.8557061263500146,0.8989942884450102,0.8989942884450102
1,79,0.8522814096894415,0.8965969867826091,0.8965969867826091
1,80,0.8620428851583336,0.9034300196108336,0.9034300196108336
1,81,0.8683328409414424,0.9078329886590095,0.9078329886590095
1,82,0.8716865751813125,0.9101806026269188,0.9101806026269188
1,83,0.783505586371446,0.8484539104600122,0.8484539104600122
1,84,0.8026676361058106,0.8618673452740673,0.8618673452740673
1,85,0.8171423454914488,0.8719996418440141,0.8719996418440141
1,86,0.7983022275596809,0.8588115592917767,0.8588115592917767
1,87,0.8149018142540998,0.8704312699778698,0.8704312699778698
1,88,0.8318322906878846,0.8822826034815192,0.8822826034815192
1,89,0.8394565927599817,0.8876196149319873,0.8876196149319873
1,90,0.8490982277258992,0.8943687594081293,0.8943687594081293
1,91,0.8601581758665129,0.902110723106559,0.902110723106559
1,92,0.8452470028028959,0.8916729019620271,0.8916729019620271
1,93,0.8289763144327154,0.8802834201029006,0.8802834201029006
